Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Seniority_Days,TotalSpend,TotalChildren,Is_Couple,CmpAccepted_Total,WebRatio,AvgSpendPerPurchase,Education_Enc
2n Cycle,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,59,496,559,0,1,0,0.2,37.266666666666666,1
Graduation,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,40,434,1923,0,0,0,0.1875,120.1875,2
Master,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,71,21,90,2,1,0,0.2857142857142857,12.857142857142858,3
PhD,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,68,50,661,2,1,0,0.3,33.05,4
Graduation,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,72,272,463,1,1,0,0.3333333333333333,30.866666666666667,2
Master,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,66,476,632,2,0,0,0.5789473684210527,33.26315789473684,3
Graduation,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,55,139,725,0,1,0,0.3684210526315789,38.1578947368421,2
PhD,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,60,319,279,2,1,0,0.4166666666666667,23.25,4
PhD,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,57,469,1482,0,1,1,0.17391304347826086,64.43478260869566,4
Basic,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,48,690,29,1,0,0,0.2,5.8,0
PhD,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,65,357,106,3,1,0,0.2857142857142857,15.142857142857142,4
PhD,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,51,41,49,2,0,1,0.2,9.8,4
PhD,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,59,336,38,2,0,0,0.3333333333333333,6.333333333333333,4
Master,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,32,618,2077,0,0,0,0.22727272727272727,94.4090909090909,3
Master,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,48,227,1053,1,1,0,0.1875,65.8125,3
Graduation,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,62,436,1385,0,1,0,0.21739130434782608,60.21739130434783,2
PhD,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,50,305,871,1,0,0,0.34782608695652173,37.869565217391305,4
Graduation,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,36,467,312,1,1,0,0.4,31.2,2
Graduation,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,48,619,877,2,1,0,0.23076923076923078,67.46153846153847,2
Graduation,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,49,609,68,1,1,0,0.3333333333333333,11.333333333333334,2
Graduation,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,43,305,22,1,1,0,0.25,5.5,2
2n Cycle,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,51,676,211,3,1,0,0.4,21.1,1
Master,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,58,8,127,0,1,0,0.25,15.875,3
Master,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,71,66,459,2,1,0,0.25,28.6875,3
Graduation,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,55,114,460,1,1,1,0.5,28.75,2
2n Cycle,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,52,562,429,1,1,0,0.5,30.642857142857142,1
Graduation,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,36,48,89,1,0,0,0.375,11.125,2
PhD,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,72,628,1021,1,1,0,0.32,40.84,4
Graduation,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,75,495,1381,0,1,2,0.47619047619047616,65.76190476190476,2
Graduation,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,66,356,306,1,0,0,0.46153846153846156,23.53846153846154,2
Graduation,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,46,290,18,3,0,0,0.0,4.5,2
Graduation,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,47,255,162,1,1,0,0.1111111111111111,18.0,2
Graduation,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,69,313,1231,0,0,0,0.16666666666666666,68.38888888888889,2
Master,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,66,363,13,3,0,0,0.25,3.25,3
PhD,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,79,601,1706,0,1,0,0.38461538461538464,65.61538461538461,4
Graduation,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,40,175,121,1,1,0,0.375,15.125,2
PhD,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,49,424,1293,0,0,0,0.25,64.65,4
PhD,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,51,120,1608,1,1,0,0.0,69.91304347826087,4
Graduation,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,58,228,88,3,1,0,0.2857142857142857,12.571428571428571,2
Graduation,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,71,223,421,0,0,1,0.3333333333333333,23.38888888888889,2
Graduation,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,65,305,259,0,0,1,0.25,21.583333333333332,2
Graduation,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,36,239,1117,0,0,0,0.2,74.46666666666667,2
Graduation,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,67,124,89,2,1,0,0.2857142857142857,12.714285714285714,2
Graduation,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,59,69,36,2,1,0,0.2,7.2,2
Graduation,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,42,351,57,1,1,0,0.3333333333333333,9.5,2
Graduation,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,54,69,148,2,1,0,0.375,18.5,2
PhD,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,65,150,93,2,1,0,0.2857142857142857,13.285714285714286,4
Graduation,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,57,86,119,1,0,1,0.2857142857142857,17.0,2
PhD,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,49,655,1835,1,1,0,0.39285714285714285,65.53571428571429,4
PhD,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,76,560,1318,0,1,2,0.36,52.72,4
PhD,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,54,37,45,2,1,0,0.3333333333333333,7.5,4
Graduation,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,65,5,10,3,1,0,0.0,2.5,2
2n Cycle,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,73,210,978,0,1,1,0.2,39.12,1
PhD,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,48,49,191,1,1,0,0.4,19.1,4
